year,total,civilians,events,gdp
1989,491,410,78,8410724360.79546
1990,681,605,110,7650125217.35253
1991,426,358,74,9406097735.091171
1992,393,326,64,10440842165.3193
1993,218,160,51,11399942453.0646
1994,287,251,38,12983235568.2292
1995,122,96,27,14655487455.7333
1996,20,7,11,15674852771.1356
1997,2,2,1,17790095900.9809
1998,1,1,1,19395461989.5391
1999,0,0,0,18318512501.0256
2000,0,0,0,19288926545.3759
2001,5,0,1,18702802394.8286
2002,2,2,2,20776669466.6053
2003,0,0,0,21917706490.5299
2004,1,1,3,23965275995.7214
2005,58,2,5,27211377225.2715
2006,0,0,0,30231249362.0604
2007,5,5,1,34113107085.6085
2008,41,0,5,39136893345.1501
2009,1,0,1,37733994976.4137
2010,0,0,0,41338595380.8159
2011,27,27,2,47654841112.8523
2012,0,0,0,50388454861.1111
2013,0,0,0,53851058955.2999
2014,0,0,0,58722323918.1604
2015,20,0,3,63767597193.9175
2016,0,0,0,68763255963.8943
