year,total,civilians,events,gdp
1989,0,0,0,213143016.443434
1990,0,0,0,243961995.509711
1991,0,0,0,257150573.21574703
1992,2,2,1,226313492.713567
1993,0,0,0,236880813.82176498
1994,0,0,0,235619994.75907403
1995,0,0,0,253966919.939838
1996,0,0,0,270419779.418107
1997,0,0,0,268551010.941186
1998,505,111,16,206457553.397101
1999,199,0,3,224446652.14622003
2000,0,0,2,370173851.946119
2001,0,0,0,392278168.19989705
2002,0,0,0,415843481.998691
2003,0,0,0,476388260.63923204
2004,0,0,0,531109356.165462
2005,0,0,0,586791883.717707
2006,0,0,0,591829908.4262639
2007,0,0,0,695606288.605845
2008,0,0,0,864136712.9866481
2009,0,0,0,825828703.628208
2010,0,0,0,846332456.382994
2011,0,0,0,1105497854.7939801
2012,0,0,0,995582062.3430179
2013,0,0,0,1026664188.52724
2014,0,0,0,1109007299.94033
2015,0,0,0,1056776896.92865
2016,0,0,0,1126122707.91534
