year,total,civilians,events,gdp
1989,0,0,0,2432029380.4369397
1990,0,0,0,2666616176.91609
1991,0,0,0,3014890569.04099
1992,0,0,0,3284625277.16186
1993,0,0,0,3279063317.63475
1994,0,0,1,3383218922.79336
1995,0,0,0,3693753379.0599203
1996,27,27,1,3869032270.91633
1997,0,0,0,3783788551.0819
1998,12,12,3,3588376057.0153604
1999,13,13,2,3461282293.6462398
2000,256,124,26,2995360969.1619897
2001,430,0,4,2833442750.43639
2002,0,0,0,2949637039.04424
2003,0,0,0,3446442218.8982897
2004,0,0,0,3666349049.42641
2005,3,3,1,2937071767.25576
2006,15,15,6,2931625104.50109
2007,45,45,21,4134173275.1244
2008,0,0,0,4515824647.43939
2009,160,160,3,4609923756.18485
2010,1,1,1,4735956493.06479
2011,25,0,1,5067360009.39196
2012,8,8,4,5667229758.9878
2013,98,0,3,6231725484.55943
2014,0,0,0,6624068015.50039
2015,3,3,1,6699203543.29047
2016,0,0,0,6298927773.1587
