year,total,civilians,events,gdp
1989,0,0,0,379779389.70588195
1990,0,0,0,396582263.291139
1991,0,0,0,336708419.499106
1992,0,0,0,368281378.896883
1993,0,0,0,442273433.17972404
1994,0,0,0,540874934.201012
1995,0,0,0,621626785.915493
1996,0,0,0,705406001.424501
1997,0,0,0,749138009.564539
1998,0,0,0,717530683.169567
1999,0,0,0,694754988.258295
2000,0,0,0,712667896.727512
2001,0,0,0,696281471.678532
2002,0,0,0,722460886.371384
2003,0,0,0,741929342.788749
2004,0,0,0,785918769.5876349
2005,0,0,0,824880550.343965
2006,0,0,0,1458446872.26976
2007,0,0,0,1740334781.83731
2008,29,20,3,1922598121.2306602
2009,0,0,0,2025565089.48272
2010,0,0,0,2259288396.24467
2011,0,0,0,2576602497.3347898
2012,0,0,0,2851154075.95385
2013,0,0,0,2990006533.7774897
2014,0,0,0,3077086275.94585
2015,0,0,0,3179104116.22276
2016,0,0,0,3446266343.82567
