year,total,civilians,events,gdp
1989,48,4,4,0.0
1990,2,2,2,0.0
1991,270,40,8,3473562850.25798
1992,0,0,0,2257129873.66261
1993,37,1,3,1878253818.07845
1994,44,32,4,2167569095.1174603
1995,1,1,1,2813313281.80715
1996,0,0,0,2907517543.3645
1997,0,0,0,3338949151.59927
1998,0,0,0,3723903723.63772
1999,11,0,2,4153725966.8767705
2000,0,0,0,3953839593.7842703
2001,0,0,0,3596448035.44747
2002,0,0,0,3472194099.40131
2003,0,0,0,2960306120.93557
2004,231,17,22,3537721020.4115796
2005,40,39,7,4310356252.83669
2006,0,0,0,4756204069.61876
2007,0,0,0,5885321655.91684
2008,0,0,0,6548530572.35291
2009,0,0,0,6584649419.28348
2010,0,0,0,6622541528.56888
2011,0,0,0,7516834160.25277
2012,0,0,0,7890216507.68913
2013,0,0,0,8452509315.87722
2014,0,0,0,8776360623.298979
2015,0,0,0,8724656126.498491
2016,0,0,0,8022638721.92013
