year,total,civilians,events,gdp
1989,0,0,0,3563448310.3448296
1990,0,0,0,3048881322.9572
1991,0,0,0,3068444711.94538
1992,0,0,0,3419487440.65916
1993,0,0,0,3481990761.3449802
1994,0,0,0,3432356578.82219
1995,0,0,0,3911053180.39625
1996,0,0,0,4034037162.16216
1997,0,0,0,4663193916.349811
1998,0,0,0,5202215657.31167
1999,9,0,1,5372543554.00697
2000,6,0,1,7103529494.374121
2001,0,0,0,7565869927.73763
2002,1,0,1,7775078402.92785
2003,47,18,8,8140271080.5604
2004,30,28,4,8772194250.27021
2005,0,0,0,9672035709.39793
2006,0,0,0,10841742347.7968
2007,0,0,0,12275501784.2971
2008,18,0,1,13789715132.501999
2009,0,0,0,14587496229.1811
2010,58,0,6,15839344591.9842
2011,18,0,1,17710275997.4437
2012,18,0,4,18528554861.015
2013,0,0,0,18499729063.3889
2014,21,0,3,19756533658.1136
2015,0,0,0,20844308600.8656
2016,10,0,2,21516915352.6217
