year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,34650782427.2429
1992,0,0,0,38616036221.8202
1993,0,0,0,40006243367.539
1994,0,0,0,43039008829.7659
1995,0,0,0,46288369007.4588
1996,0,0,0,46538169511.6894
1997,0,0,0,47178241568.5704
1998,0,0,0,48661666395.3691
1999,0,0,0,49074725337.7458
2000,0,0,0,47209471853.3471
2001,0,0,0,53696730223.8318
2002,0,0,0,67561285378.7259
2003,0,0,0,85050281601.04
2004,0,0,0,103694527827.45699
2005,0,0,0,112589039620.20699
2006,0,0,0,114801188269.404
2007,0,0,0,139198195460.551
2008,0,0,0,157290970540.917
2009,0,0,0,129965360575.699
2010,0,0,0,130255637530.908
2011,0,0,0,140091591852.97598
2012,0,0,0,127321135030.078
2013,0,0,0,134680475647.645
2014,0,0,0,139294565100.565
2015,0,0,0,121715203207.64699
2016,0,0,0,124342940194.419
