year,total,civilians,events,gdp
1989,0,0,0,5718878001.74609
1990,0,0,0,6521544489.20626
1991,0,0,0,6966138525.63635
1992,0,0,0,7138787995.321991
1993,0,0,0,6269347502.78093
1994,0,0,0,6441621297.77366
1995,0,0,0,7181787873.86945
1996,0,0,0,7501950115.789471
1997,0,0,0,7596126045.95208
1998,0,0,0,8468339855.94356
1999,0,0,0,8931365460.570429
2000,0,0,0,8946079678.43696
2001,0,0,0,8146073989.526259
2002,0,0,0,9199643907.979021
2003,0,0,0,11304084266.5137
2004,0,0,0,13703315349.2507
2005,0,0,0,16691213479.471
2006,0,0,0,17043245939.014
2007,0,0,0,21295012098.9774
2008,0,0,0,17640375722.4448
2009,0,0,0,12887072301.1621
2010,0,0,0,13254818331.1893
2011,0,0,0,14674650434.6757
2012,0,0,0,14218575093.023998
2013,0,0,0,15479256844.8708
2014,0,0,0,17178962757.4324
2015,0,0,0,16783714958.4498
2016,0,0,0,20047413006.3471
