year,total,civilians,events,gdp
1989,1850,251,117,292093308319.64197
1990,4732,575,332,316697337894.513
1991,3720,557,218,266502281094.117
1992,4161,664,240,284363884080.101
1993,2328,385,332,275570363431.902
1994,1439,211,246,322909902308.89197
1995,1080,148,227,355475984177.451
1996,1330,312,175,387656017798.596
1997,1509,369,277,410320300470.28296
1998,1554,576,354,415730874171.13
1999,2547,501,538,452699998386.914
2000,3979,1132,1287,462146799337.698
2001,1716,475,419,478965491060.771
2002,2899,1029,1010,508068952065.901
2003,2256,746,744,599592902016.345
2004,1767,416,764,699688852930.276
2005,2016,594,911,808901077222.8391
2006,2158,702,932,920316529729.7471
2007,1725,564,726,1201111768410.27
2008,1766,596,674,1186952757636.11
2009,1627,411,845,1323940295874.06
2010,1641,618,784,1656617073124.71
2011,789,249,403,1823049927772.05
2012,800,281,427,1827637859136.23
2013,702,202,345,1856722121394.42
2014,731,284,398,2035393459980.06
2015,629,120,323,2111751098184.5
2016,780,146,417,2263522518124.03
