year,total,civilians,events,gdp
1989,6,0,4,94451427898.3405
1990,200,132,46,106140727357.035
1991,426,361,37,116621996217.13301
1992,53,6,14,128026966579.964
1993,27,2,8,158006700301.53302
1994,12,2,9,176892143931.505
1995,62,40,19,202132028723.115
1996,32,15,15,227369679374.97302
1997,441,29,37,215748998609.635
1998,95,52,29,95445547872.715
1999,1805,932,326,140001351215.462
2000,916,135,156,165021012077.81
2001,833,60,97,160446947784.909
2002,762,286,265,195660611165.183
2003,1063,219,225,234772463823.808
2004,1062,106,355,256836875295.452
2005,242,32,33,285868618224.01697
2006,3,3,1,364570514304.85
2007,2,2,1,432216737774.861
2008,6,5,3,510228635279.289
2009,0,0,0,539580088908.13794
2010,0,0,0,755094160363.0709
2011,9,2,4,892969107923.0941
2012,0,0,0,917869910105.749
2013,0,0,0,912524136718.018
2014,0,0,0,890814755233.225
2015,4,4,3,861256351277.359
2016,0,0,0,932259177765.307
