year,total,civilians,events,gdp
1989,0,0,0,120496362916.372
1990,31,0,14,124813263926.37401
1991,44,0,3,0.0
1992,4,4,2,0.0
1993,153,91,17,63743623232.012
1994,16,0,2,71841461172.5964
1995,17,0,3,96419225743.6737
1996,34,11,4,120403931885.441
1997,33,0,12,113919163421.155
1998,13,1,5,110276913362.50801
1999,19,0,6,113848450088.351
2000,40,0,18,109591707802.216
2001,112,0,14,126878750295.944
2002,0,0,0,128626917503.72
2003,2,0,1,153544751395.43
2004,0,0,0,183697185041.72
2005,29,1,8,219845971945.26398
2006,52,0,20,258645743978.38602
2007,72,1,22,337474485087.271
2008,117,0,19,397189565318.895
2009,158,25,14,398978104575.331
2010,96,26,11,467790215915.476
2011,206,2,13,592037800186.865
2012,17,0,5,587209369682.67
2013,11,0,4,511620875086.78
2014,2,0,1,425326068422.88104
2015,4,0,1,393436064441.692
2016,18,0,4,0.0
