year,total,civilians,events,gdp
1989,0,0,0,39277216207.166
1990,0,0,0,49354416568.9723
1991,0,0,0,49836763468.1202
1992,0,0,0,55973865067.6672
1993,0,0,0,52469340621.0024
1994,0,0,0,57154150176.6784
1995,0,0,0,69208232323.2323
1996,0,0,0,75864982358.871
1997,0,0,0,82816774116.5234
1998,0,0,0,90111618257.2614
1999,0,0,0,98781557639.0369
2000,0,0,0,99855067256.3111
2001,0,0,0,109119123042.506
2002,0,0,0,127941699604.74301
2003,0,0,0,164285609480.81302
2004,0,0,0,193870908865.16
2005,0,0,0,211684827757.742
2006,0,0,0,232167519759.12698
2007,0,0,0,270043019436.08
2008,0,0,0,274919027391.241
2009,0,0,0,235765976660.183
2010,0,0,0,221343483668.837
2011,0,0,0,240590736123.315
2012,0,0,0,225819189160.686
2013,0,0,0,239271158532.518
2014,0,0,0,256271345442.58603
2015,0,0,0,283716006697.636
2016,0,0,0,294053595685.717
