year,total,civilians,events,gdp
1989,93,80,58,44599771759.5491
1990,43,24,37,52490327348.4773
1991,47,1,37,59170286560.4844
1992,72,17,55,65771216420.6417
1993,88,20,61,65925583866.2945
1994,116,58,52,74669719504.5
1995,77,22,23,99968784246.0067
1996,132,66,25,109774101575.96301
1997,25,24,5,114543978662.956
1998,6,1,4,115838004263.04599
1999,2,0,2,117212358383.45801
2000,108,14,59,132396684080.151
2001,355,116,179,130751599020.377
2002,887,350,374,121092701253.746
2003,471,238,154,126749741990.73401
2004,514,113,268,135418563141.455
2005,211,80,117,142837533703.233
2006,664,132,259,154511423313.434
2007,538,59,239,179564275455.807
2008,735,128,154,216760312151.61603
2009,706,306,140,208068814688.605
2010,64,10,36,233754747258.625
2011,73,21,35,261374751963.332
2012,73,9,30,257641795689.722
2013,8,0,7,293314777888.557
2014,1682,310,309,308769389865.56396
2015,15,8,11,299415714726.768
2016,11,6,8,318743685882.414
