year,total,civilians,events,gdp
1989,0,0,0,925598071408.4109
1990,0,0,0,1177326298642.53
1991,0,0,0,1242109402060.25
1992,0,0,0,1315806990573.45
1993,0,0,1,1061445229481.97
1994,0,0,0,1095590837536.02
1995,0,0,0,1170787357066.44
1996,0,0,0,1308929305684.53
1997,0,0,0,1239050936221.01
1998,0,0,0,1266309223820.68
1999,0,0,0,1248563148945.24
2000,0,0,0,1141760021927.4
2001,0,0,0,1162317840447.43
2002,0,0,0,1266510668642.95
2003,0,0,0,1569649631715.58
2004,0,0,0,1798314755525.2
2005,0,0,0,1852661936077.6
2006,0,0,0,1942633841801.53
2007,0,0,0,2203053327128.39
2008,0,0,0,2390729210487.77
2009,0,0,0,2185160158794.11
2010,0,0,0,2125058270201.64
2011,0,0,0,2276292459232.78
2012,0,0,0,2072823111961.1
2013,0,0,0,2130491269673.44
2014,0,0,0,2151732834411.5
2015,0,0,0,1824902219021.73
2016,0,0,0,1849970464191.78
