year,total,civilians,events,gdp
1989,0,0,0,9757410614.0812
1990,8,0,1,10795850106.9547
1991,0,0,0,10492628915.4927
1992,0,0,0,11152971316.074
1993,1,1,1,11045759468.9412
1994,4,4,1,8313557450.25213
1995,37,5,2,11000146839.497
1996,5,5,1,12139234938.7863
1997,0,0,0,11722142706.1278
1998,0,0,0,12612033728.8572
1999,0,0,0,12376639822.9265
2000,126,101,5,10717022462.6859
2001,2,0,1,11192560827.2962
2002,998,385,48,12346919216.1359
2003,482,440,38,15306602560.2533
2004,262,49,24,16554441846.5192
2005,137,9,20,17084928927.4555
2006,11,8,7,17800887796.4987
2007,4,4,4,20343635319.6174
2008,4,4,4,24224903099.6283
2009,1,1,1,24277493862.0625
2010,23,22,10,24884505034.5564
2011,467,324,102,25381616734.0693
2012,5,3,2,27040562587.1771
2013,2,2,1,31273049200.242996
2014,0,0,0,35372603446.2605
2015,0,0,0,32828516580.3451
2016,47,14,2,36164644633.0972
