year,total,civilians,events,gdp
1989,1,0,1,4404970058.83786
1990,0,0,0,4592224067.37194
1991,0,0,0,4071219198.0360103
1992,0,0,0,3530892749.0213103
1993,0,0,0,4859766160.892071
1994,5,1,1,4907861405.8275795
1995,0,0,0,5779285207.92079
1996,0,0,0,6504445801.342279
1997,0,0,0,7450324787.383841
1998,0,0,0,8718300136.42565
1999,0,0,0,8795765306.12245
2000,0,0,0,8929375580.315691
2001,116,0,20,9087918836.80556
2002,14,0,5,9694161516.27524
2003,8,0,2,9399452787.8474
2004,0,0,0,10150978154.5484
2005,0,0,0,11204416000.0
2006,0,0,0,11905525197.3285
2007,0,0,0,12824094989.8639
2008,0,0,0,13678551837.6303
2009,0,0,0,12038998756.9217
2010,0,0,0,13192229343.0991
2011,0,0,0,14440457548.68
2012,0,0,0,14802430172.5391
2013,0,0,0,14276559215.7309
2014,0,0,0,13897561173.4853
2015,0,0,0,14261995113.6721
2016,0,0,0,14027151472.7053
