year,total,civilians,events,gdp
1989,0,0,0,3052315661954.82
1990,0,0,0,3139974443543.0
1991,0,0,0,3578139437172.02
1992,0,0,0,3897826229662.86
1993,0,0,0,4466565327401.26
1994,0,0,0,4907039384469.68
1995,0,0,0,5449116304981.1
1996,0,0,0,4833712542207.1
1997,0,0,0,4414732843544.43
1998,0,0,0,4032509760872.94
1999,0,0,0,4562078822335.45
2000,0,0,0,4887519660744.86
2001,0,0,0,4303544259842.72
2002,0,0,0,4115116279069.77
2003,0,0,0,4445658071221.86
2004,0,0,0,4815148854362.11
2005,0,0,0,4755410630912.14
2006,0,0,0,4530377224970.4
2007,0,0,0,4515264514430.57
2008,0,0,0,5037908465114.48
2009,0,0,0,5231382674593.7
2010,0,0,0,5700098114744.41
2011,0,0,0,6157459594823.72
2012,0,0,0,6203213121334.12
2013,0,0,0,5155717056270.83
2014,0,0,0,4848733415523.53
2015,0,0,0,4383076298081.86
2016,0,0,0,4939383909875.27
