year,total,civilians,events,gdp
1989,0,0,0,4220945005.22102
1990,0,0,0,4160003917.4325795
1991,0,0,0,4344250257.012779
1992,1,1,1,5311329067.37276
1993,0,0,0,5605841535.57512
1994,0,0,0,6237739516.24445
1995,0,0,0,6727446632.42009
1996,0,0,0,6928359238.36389
1997,0,0,0,7246188575.45839
1998,0,0,0,7912327362.48237
1999,0,0,0,8149106064.88011
2000,0,0,0,8460424400.564179
2001,0,0,0,8975689844.8519
2002,0,0,0,9582453032.44006
2003,0,0,0,10195660789.8449
2004,0,0,0,11411390409.0268
2005,59,59,1,12588665303.244
2006,0,0,0,15056929760.2257
2007,0,0,0,17110587447.1086
2008,0,0,0,21972004086.2336
2009,0,0,0,23820230000.0
2010,0,0,0,26425379436.6197
2011,0,0,0,28840263380.2817
2012,0,0,0,30937277605.6338
2013,0,0,0,33593843661.9718
2014,0,0,0,35826925774.6479
2015,1,1,1,37517410281.6901
2016,34,3,4,38654727746.4789
