year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,26932728898.8146
1991,0,0,0,24881135586.399
1992,0,0,0,24906939560.1098
1993,0,0,0,23409027475.6879
1994,0,0,0,21250839258.0901
1995,0,0,0,20374307047.115
1996,0,0,0,21035357832.8019
1997,0,0,0,22165932062.966
1998,0,0,0,22135245413.2312
1999,0,0,0,16870817134.7767
2000,0,0,0,18291990619.137
2001,0,0,0,22152689129.5583
2002,0,0,0,24636598581.0204
2003,0,0,0,30833692831.3955
2004,0,0,0,43151647002.6096
2005,0,0,0,57123671733.8952
2006,0,0,0,81003884545.4099
2007,0,0,0,104849886825.584
2008,0,0,0,133441612246.798
2009,0,0,0,115308661142.92699
2010,0,0,0,148047348240.643
2011,0,0,0,192626507971.58398
2012,0,0,0,207998568865.78897
2013,0,0,0,236634552078.102
2014,0,0,0,221415572819.5
2015,0,0,0,184388432148.715
2016,0,0,0,133657084404.95699
