year,total,civilians,events,gdp
1989,63,3,3,8283114648.38116
1990,7,7,1,8572359162.868759
1991,17,0,2,8151479004.213341
1992,159,9,26,8209129171.73649
1993,287,1,18,5751789915.05363
1994,34,6,13,7148145375.78545
1995,60,4,4,9046326059.988571
1996,170,3,9,12045858436.2399
1997,212,14,11,13115773737.5664
1998,322,1,15,14093998843.7334
1999,194,0,7,12896013576.7324
2000,254,4,16,12705357103.0056
2001,192,32,18,12986007425.8781
2002,32,0,4,13147743910.7241
2003,7,0,2,14904517649.8476
2004,20,0,4,16095337093.8366
2005,215,7,29,18737897744.7948
2006,219,24,22,25825524820.8064
2007,186,134,51,31958195182.2406
2008,783,299,116,35895153327.8497
2009,170,40,25,37021512048.8158
2010,85,0,27,39999659233.7555
2011,144,9,26,41953433591.4101
2012,309,34,69,50412754821.9795
2013,271,79,49,55097343447.5616
2014,339,140,80,61445345999.0765
2015,386,167,39,63767539356.6051
2016,130,36,48,70529014778.3251
