year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,0,0,0,0.0
1993,0,0,0,0.0
1994,0,0,0,0.0
1995,0,0,0,0.0
1996,0,0,0,0.0
1997,0,0,0,0.0
1998,0,0,0,0.0
1999,0,0,0,0.0
2000,0,0,0,1849196082.05507
2001,0,0,0,2535333631.8853602
2002,0,0,0,2702427046.9355
2003,0,0,0,3355083116.58939
2004,0,0,0,3639935347.50715
2005,0,0,0,3736599925.38241
2006,0,0,0,4078158323.9242296
2007,0,0,0,4833561456.33726
2008,0,0,0,5687488208.58356
2009,0,0,0,5653792720.20006
2010,0,0,0,5829933774.83444
2011,0,0,0,6649291075.89658
2012,0,0,0,6473724784.78736
2013,0,0,0,7072092405.73553
2014,0,0,0,7386891336.075359
2015,0,0,0,6440501275.36875
2016,0,0,0,6649888888.88889
