year,total,civilians,events,gdp
1989,0,0,0,24312117767.1886
1990,1329,271,19,18427777777.7778
1991,460,44,19,11008793176.2223
1992,0,0,0,19858555214.7239
1993,0,0,0,23941391390.7285
1994,0,0,0,24848483838.3838
1995,0,0,0,27191689008.0429
1996,1,1,1,31493987641.9506
1997,0,0,0,30354434553.2476
1998,0,0,0,25941929461.9423
1999,0,0,0,30121879434.954
2000,0,0,0,37711864406.7797
2001,0,0,0,34890772742.0933
2002,0,0,0,38137545245.1464
2003,0,0,0,47875838926.1745
2004,0,0,0,59440108585.0017
2005,0,0,0,80797945205.4795
2006,0,0,0,101550654720.88199
2007,0,0,0,114641097818.438
2008,0,0,0,147395833333.333
2009,0,0,0,105899930507.297
2010,0,0,0,115419050942.08
2011,0,0,0,154027536231.884
2012,0,0,0,174070025008.932
2013,0,0,0,174161495063.47
2014,0,0,0,162631763879.129
2015,26,26,1,114041209704.221
2016,0,0,0,0.0
