year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,2674000000.0
1991,0,0,0,2570833333.33333
1992,0,0,0,2316562500.0
1993,0,0,0,2028295454.54545
1994,0,0,0,1681006993.00699
1995,0,0,0,1661018518.5185199
1996,0,0,0,1827570586.1678398
1997,0,0,0,1767864035.71943
1998,0,0,0,1645963749.83146
1999,14,3,2,1249062025.13805
2000,174,0,17,1369693171.43504
2001,0,0,0,1525112241.84376
2002,0,0,0,1605640633.42189
2003,0,0,0,1919012780.9708602
2004,0,0,0,2211535311.62834
2005,0,0,0,2460248026.17783
2006,6,0,3,2834168889.42019
2007,0,0,0,3802566170.8154297
2008,0,0,0,5139957784.91084
2009,0,0,0,4690062255.12247
2010,41,2,24,4794357795.07139
2011,0,0,0,6197766118.59856
2012,0,0,0,6605139933.410629
2013,0,0,0,7335027591.91628
2014,0,0,0,7468096566.711579
2015,0,0,0,6678178340.45121
2016,0,0,0,6551287937.62632
