year,total,civilians,events,gdp
1989,30,0,1,714046821.093797
1990,255,41,6,865559856.1639
1991,0,0,0,1028087972.31085
1992,0,0,0,1127806944.6151302
1993,3,3,1,1327748654.6596901
1994,0,0,0,1543606345.1168401
1995,0,0,0,1763536304.53964
1996,0,0,0,1873671550.3463602
1997,2,2,1,1747011857.33107
1998,0,0,0,1280177838.71905
1999,2,2,1,1454430642.49183
2000,7,2,2,1731198022.45494
2001,0,0,0,1768619058.3464699
2002,4,4,2,1758176653.07746
2003,5,5,3,2023324407.3031602
2004,4,4,3,2366398119.8821
2005,0,0,0,2735558726.25625
2006,73,73,4,3452882514.0016603
2007,0,0,0,4222962987.53859
2008,0,0,0,5443915120.50795
2009,0,0,0,5832915387.08908
2010,0,0,0,7127792629.582941
2011,0,0,0,8261299199.6817
2012,0,0,0,10191367558.2708
2013,0,0,0,11942157500.4254
2014,0,0,0,13268297521.6066
2015,0,0,0,14390323462.0115
2016,0,0,0,15903437789.8552
