year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,0,0,0,0.0
1993,0,0,0,0.0
1994,0,0,0,0.0
1995,0,0,0,5788368511.12379
1996,0,0,0,5970044665.64574
1997,0,0,0,6525676264.21486
1998,0,0,0,7174985106.636479
1999,0,0,0,7533187605.09248
2000,0,0,0,7937758980.3012705
2001,0,0,0,8350252966.19655
2002,0,0,0,9546441564.34743
2003,0,0,0,11748433157.0533
2004,0,0,0,14373269155.7174
2005,0,0,0,16922504044.803999
2006,0,0,0,21447021570.1028
2007,0,0,0,30901399261.387
2008,0,0,0,35596016664.2304
2009,0,0,0,26169854045.0375
2010,0,0,0,23757368290.0955
2011,0,0,0,28223552824.7508
2012,0,0,0,28119996053.2511
2013,0,0,0,30254571077.6726
2014,0,0,0,31352249349.5712
2015,0,0,0,27026037600.3392
2016,0,0,0,27677391316.3405
