year,total,civilians,events,gdp
1989,1097,109,210,2717998687.71002
1990,1903,67,89,2838485353.9618697
1991,68,8,29,4451497288.27108
1992,132,44,54,5545921947.46583
1993,163,35,78,7535259851.035971
1994,144,13,59,9599127049.9375
1995,126,9,71,11718795528.4939
1996,213,136,56,13690217333.2697
1997,99,9,59,15751867489.4446
1998,85,8,50,17247179005.5219
1999,74,11,41,17391056369.2265
2000,55,2,32,17260364842.4544
2001,4,0,3,17649751243.7811
2002,0,0,1,19152238805.9701
2003,1,0,1,20082918739.6352
2004,0,0,0,20955223880.597
2005,3,0,3,21287562189.0547
2006,747,546,152,21796351575.4561
2007,0,0,0,24577114427.8607
2008,38,0,5,28829850746.2687
2009,0,0,0,35139635157.5456
2010,0,0,0,38009950248.7562
2011,4,3,2,40078938640.1327
2012,52,0,5,43205095854.062996
2013,175,52,26,44352417910.4478
2014,206,58,30,45730945273.6318
2015,200,0,19,47084703150.9121
2016,56,5,12,47536798648.0929
