year,total,civilians,events,gdp
1989,0,0,0,495404890.86500597
1990,0,0,0,596415106.6331849
1991,0,0,0,704329193.303687
1992,0,0,0,831033946.369022
1993,0,0,0,835592816.316424
1994,0,0,0,878250452.8157179
1995,0,0,0,1001889845.5807
1996,0,0,0,946123280.510758
1997,0,0,0,997996034.86775
1998,68,0,4,928458201.135383
1999,0,0,0,912771283.593936
2000,0,0,0,887295262.184165
2001,0,0,0,825706966.802027
2002,0,0,0,775780697.302945
2003,0,0,0,1157832935.83899
2004,0,0,0,1511236652.019
2005,0,0,0,1682350941.5494301
2006,0,0,0,1800105593.0374699
2007,0,0,0,1820597204.9909601
2008,0,0,0,1868776303.14958
2009,0,0,0,1864004707.45587
2010,0,0,0,2394097298.8559103
2011,0,0,0,2791545696.37485
2012,0,0,0,2678243067.38507
2013,0,0,0,2532392022.47022
2014,0,0,0,2520952363.38624
2015,0,0,0,2335194894.3494
2016,0,0,0,2199709488.8603897
