year,total,civilians,events,gdp
1989,45,18,6,786300000.0
1990,3729,3388,138,384400000.0
1991,578,272,19,348000000.0
1992,453,410,26,223500000.0
1993,2673,2563,47,160400000.0
1994,4167,3733,92,132200000.0
1995,2290,2282,52,134800000.0
1996,3091,1126,32,159400000.0
1997,13,13,3,295900000.0
1998,13,13,1,359600000.0
1999,70,70,3,441800000.0
2000,101,44,5,529064600.0
2001,481,149,28,521000000.0
2002,2259,1812,43,543000000.0
2003,3281,1960,53,416000000.0
2004,0,0,0,474700000.0
2005,0,0,0,550000000.0
2006,0,0,0,604028900.0
2007,0,0,0,739027200.0
2008,0,0,0,850040500.0
2009,0,0,0,1155147400.0
2010,0,0,0,1292697100.0
2011,0,0,0,1545400000.0
2012,0,0,0,1735500000.0
2013,0,0,0,1946500000.0
2014,0,0,0,2013000000.0
2015,0,0,0,2034000000.0
2016,0,0,0,2101000000.0
