year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,28901836158.1921
1991,0,0,0,31995012468.8279
1992,0,0,0,33881392045.4545
1993,0,0,0,30657030223.3903
1994,0,0,0,28607921928.8175
1995,0,0,0,25544128198.9955
1996,0,0,0,27884615384.6154
1997,0,0,0,30698633109.1343
1998,0,0,0,27249786142.0017
1999,0,0,0,35976714100.9056
2000,0,0,0,38270206950.41
2001,0,0,0,34110064452.1567
2002,0,0,0,20481889763.7795
2003,0,0,0,26265625000.0
2004,0,0,0,33122307692.3077
2005,0,0,0,47334148578.4164
2006,0,0,0,54961936662.6066
2007,0,0,0,67516236337.7158
2008,0,0,0,87140405361.2292
2009,0,0,0,63028320702.0343
2010,0,0,0,74773444900.5368
2011,2082,242,221,34699395523.6073
2012,78,0,5,0.0
2013,0,0,0,0.0
2014,1457,129,103,0.0
2015,1503,247,155,0.0
2016,2215,37,170,0.0
