year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,0,0,0,0.0
1993,0,0,0,0.0
1994,0,0,0,0.0
1995,0,0,0,7870782260.516979
1996,0,0,0,8385109020.28485
1997,0,0,0,10120274492.8787
1998,0,0,0,11240360897.7126
1999,0,0,0,10972878636.1675
2000,0,0,0,11539211480.3625
2001,0,0,0,12252498921.0186
2002,0,0,0,14278357283.7419
2003,0,0,0,18802576988.1557
2004,0,0,0,22649930576.2543
2005,0,0,0,26125575942.2814
2006,0,0,0,30216060233.4044
2007,0,0,0,39738180076.6283
2008,0,0,0,47850551148.8365
2009,0,0,0,37440673477.8982
2010,0,0,0,37120517693.8622
2011,0,0,0,43476878139.2577
2012,0,0,0,42847900765.8065
2013,0,0,0,46473646001.5672
2014,0,0,0,48545251795.561
2015,0,0,0,41402022148.2053
2016,0,0,0,42738875963.3703
