year,total,civilians,events,gdp
1989,0,0,0,10391504709.2547
1990,0,0,0,13229247947.8513
1991,0,0,0,14321878795.0384
1992,0,0,0,16065740777.9172
1993,0,0,0,16486900186.5672
1994,0,0,0,18325791415.4811
1995,0,0,0,21588170498.0843
1996,0,0,0,21776609771.987
1997,0,0,0,19731912494.3617
1998,0,0,0,20209122027.1171
1999,0,0,0,22235929043.2559
2000,0,0,0,21263514833.2412
2001,0,0,0,21272418791.9463
2002,0,0,0,23616328816.1114
2003,0,0,0,29557325056.4334
2004,0,0,0,34685281847.5292
2005,0,0,0,37347394602.6614
2006,0,0,0,42414308116.9239
2007,0,0,0,50888134410.0739
2008,0,0,0,55849686538.7432
2009,0,0,0,51370543206.4462
2010,0,0,0,53212476812.2957
2011,0,0,0,60004630234.4135
2012,0,0,0,56677961787.0717
2013,0,0,0,61808178300.1352
2014,0,0,0,66298060521.7586
2015,0,0,0,58048242436.0611
2016,0,0,0,59947781147.4776
