year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,4471828621.90813
1991,0,0,0,4694744897.95918
1992,0,0,0,2316618542.52603
1993,0,0,0,2550195043.10345
1994,0,0,0,3381270207.85219
1995,0,0,0,4449375346.45669
1996,0,0,0,4422160017.54386
1997,0,0,0,3735312142.5702796
1998,0,0,0,3571043102.5641
1999,6,6,1,3673288263.62039
2000,3,0,1,3772851420.2476296
2001,72,11,53,3709637829.9486604
2002,0,0,0,4018365247.44444
2003,0,0,0,4946292774.790461
2004,0,0,0,5682719260.0763
2005,0,0,0,6258600713.82627
2006,0,0,0,6861222331.96317
2007,0,0,0,8336478142.08872
2008,0,0,0,9909548410.82744
2009,0,0,0,9401731495.71661
2010,0,0,0,9407168702.4313
2011,0,0,0,10494632699.3859
2012,0,0,0,9745251126.0109
2013,0,0,0,10817712138.9451
2014,0,0,0,11362272837.8818
2015,0,0,0,10051659161.1733
2016,0,0,0,10899583154.6499
