year,total,civilians,events,gdp
1989,0,0,0,2498059014.77295
1990,0,0,0,3081479800.28735
1991,0,0,0,2653141958.52585
1992,0,0,0,3024459564.32157
1993,0,0,0,3370842210.90955
1994,0,0,0,2977040722.47057
1995,0,0,0,3159901231.97468
1996,0,0,0,3995028592.7872205
1997,0,0,0,3545776697.12109
1998,0,0,0,3738704467.5187798
1999,0,0,0,3717515282.53319
2000,0,0,0,3877673539.09084
2001,0,0,0,4529575347.56805
2002,79,8,32,4397254607.61164
2003,0,0,0,5474030080.24451
2004,0,0,0,4363934494.37405
2005,0,0,0,5039293030.82367
2006,0,0,0,5515884348.54904
2007,0,0,0,7342923489.096159
2008,0,0,0,9413002920.97008
2009,113,31,7,8550363974.79243
2010,0,0,0,8729936135.744871
2011,0,0,0,9892702357.56691
2012,15,15,3,9919780071.287642
2013,0,0,0,10601690871.7611
2014,0,0,0,10673516672.6664
2015,0,0,0,9738652322.17001
2016,0,0,0,9990653078.194971
