year,total,civilians,events,gdp
1989,0,0,0,1590201656.14301
1990,0,0,0,1880784191.8148398
1991,0,0,0,2203536031.03471
1992,0,0,0,1799529357.0981
1993,0,0,0,2070647127.03808
1994,0,0,0,1181801919.6683302
1995,0,0,0,1397454122.24047
1996,0,0,0,2281039097.69299
1997,0,0,0,2663238982.8009
1998,0,0,0,1750585204.4481301
1999,0,0,0,1775920039.5891898
2000,0,0,0,1743506287.41519
2001,0,0,0,1716502862.2954
2002,0,0,0,3495748397.63025
2003,0,0,0,3208837077.25069
2004,0,0,0,3476094498.8751698
2005,0,0,0,3655909664.1423
2006,0,0,0,3997852636.2454705
2007,0,0,0,4432192843.58998
2008,0,0,0,5320925102.29496
2009,0,0,0,6190991712.12014
2010,0,0,0,6959697194.02096
2011,0,0,0,8003300198.30166
2012,0,0,0,6028470988.53624
2013,0,0,0,5518901971.40057
2014,0,0,0,6054750320.3278
2015,0,0,0,6373201160.032479
2016,0,0,0,5441852138.14605
