year,total,civilians,events,gdp
1989,0,0,0,38848567631.4235
1990,0,0,0,44024178343.0071
1991,0,0,0,49142784405.0044
1992,0,0,0,59167157497.9385
1993,0,0,0,66894448545.1226
1994,0,0,0,74477975918.3051
1995,0,0,0,88704944178.6284
1996,0,0,0,100854996422.60901
1997,0,0,0,100005323301.86699
1998,0,0,0,72167753770.8928
1999,0,0,0,79148947368.4211
2000,0,0,0,93789736842.1053
2001,0,0,0,92783947368.4211
2002,0,0,0,100845263157.895
2003,0,0,0,110202368421.05301
2004,0,0,0,124749736842.105
2005,0,0,0,143534102611.49698
2006,0,0,0,162690965596.205
2007,0,0,0,193547824063.3
2008,0,0,0,230813597937.526
2009,0,0,0,202257586267.55603
2010,0,0,0,255016609232.871
2011,0,0,0,297951960784.31396
2012,0,0,0,314442825692.826
2013,70,2,14,323276841537.339
2014,0,0,0,338068990803.263
2015,0,0,0,296283190372.552
2016,0,0,0,296359118754.525
