year,total,civilians,events,gdp
1989,0,0,0,2181821902.43953
1990,328,125,14,2681912030.4938397
1991,188,176,5,2724131545.16958
1992,77,77,5,2830673388.82429
1993,0,0,1,2818280876.07615
1994,729,596,41,2081846482.7477102
1995,2,2,1,2706425298.3681803
1996,0,0,0,2780422212.26995
1997,22,0,1,2697105694.0795603
1998,0,0,0,2920358586.75234
1999,59,0,4,3439463140.35541
2000,0,0,0,2954129565.82965
2001,0,0,0,3465305993.47783
2002,0,0,0,3889758023.73699
2003,0,0,0,4703504466.53245
2004,20,0,2,5444474268.424911
2005,12,0,1,6245031690.06808
2006,0,0,0,6899799785.8441
2007,39,12,8,8145694631.88354
2008,113,11,10,9750822511.47988
2009,127,1,9,10181021770.4326
2010,28,2,2,10678749467.4697
2011,19,1,3,12978107560.5982
2012,359,24,43,12442747897.2223
2013,874,51,83,12813248724.7996
2014,291,3,30,14004067516.3577
2015,241,17,50,12746688961.7795
2016,187,12,55,14045098237.596
