year,total,civilians,events,gdp
1989,0,0,0,2118574772.11136
1990,0,0,0,2547163582.33149
1991,0,0,0,2750041434.26295
1992,0,0,0,3021910216.71827
1993,0,0,0,2709178326.78271
1994,0,0,0,2998570146.54095
1995,0,0,1,3439931906.61479
1996,0,0,0,3570271557.8847103
1997,0,0,0,3705372038.7053704
1998,0,0,0,3923637971.04652
1999,0,0,0,4127313818.3383603
2000,0,0,0,4306192435.82207
2001,0,0,0,4331870647.71535
2002,0,0,0,4689832689.83269
2003,0,0,0,5456583589.39342
2004,0,0,0,6062780269.0583
2005,0,0,0,6394851386.64345
2006,0,0,0,6757119558.3992
2007,0,0,0,7880509170.54476
2008,0,0,0,8977149553.24447
2009,0,0,0,8528202278.41067
2010,0,0,0,8741059602.64901
2011,0,0,0,9500001983.37933
2012,0,0,0,9198987219.66026
2013,0,0,0,10131419448.978
2014,0,0,0,11188785252.7566
2015,0,0,0,10287007021.1557
2016,0,0,0,10949092471.597
