year,total,civilians,events,gdp
1989,127,25,15,981529400.534373
1990,19,19,3,1019600770.6038
1991,0,0,0,1443688869.96039
1992,0,0,1,1464392416.14671
1993,0,0,0,1249944999.42056
1994,0,0,0,1315932644.95246
1995,0,0,0,1415296704.11812
1996,0,0,0,1442598431.0096
1997,0,0,0,1401946853.2067199
1998,0,0,0,1375115534.0733
1999,0,0,0,1405662878.8529599
2000,0,0,0,1293654175.2102
2001,0,0,0,1295539448.36484
2002,0,0,0,1324426606.62378
2003,0,0,0,1563074859.5217302
2004,0,0,0,1833444740.37736
2005,0,0,0,2184444848.97637
2006,0,0,0,3040716679.0766897
2007,0,0,0,3356757497.1208
2008,12,0,1,3978425730.72183
2009,1,1,1,3670515695.6915298
2010,1,0,1,4343665119.8875
2011,9,1,6,5179689613.50618
2012,1,1,1,5225532807.25025
2013,0,0,0,5724227536.49393
2014,0,0,0,5391475878.08153
2015,0,0,0,4844223517.89396
2016,0,0,0,4634588338.071711
