year,total,civilians,events,gdp
1989,3,3,2,222977035953.68698
1990,4,4,3,262709776007.964
1991,0,0,0,314453890803.074
1992,16,1,3,363609256195.677
1993,34,1,3,503962832199.255
1994,153,6,12,527318753518.414
1995,22,17,5,343792792161.261
1996,43,4,15,397404140458.45703
1997,58,48,6,480554644187.66205
1998,7,1,5,502010250656.743
1999,0,0,0,579459682649.2621
2000,0,0,0,683647965226.955
2001,0,0,0,724703603502.3491
2002,26,0,2,741559509631.317
2003,0,0,0,713284231624.803
2004,220,2,31,770267585947.1909
2005,187,0,11,866345821213.261
2006,686,1,40,965281191371.8441
2007,610,6,186,1043471321169.09
2008,1869,0,97,1101275278668.79
2009,2263,6,235,894948748436.7479
2010,3313,81,275,1051128603513.77
2011,2715,198,259,1171187519660.64
2012,1699,33,196,1186598324461.82
2013,776,39,182,1261981728468.52
2014,1642,35,178,1298398654278.73
2015,1653,28,255,1151037122909.08
2016,1309,8,184,1045998068645.15
