year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,585,24,77,0.0
1993,0,0,0,0.0
1994,0,0,0,0.0
1995,0,0,0,1752975841.35916
1996,0,0,0,1695130456.52174
1997,0,0,0,1930071406.9264102
1998,0,0,0,1639497206.7039099
1999,0,0,0,1170785047.79461
2000,0,0,0,1288429150.51394
2001,0,0,0,1480656884.38462
2002,0,0,0,1661818168.4226
2003,0,0,0,1980901553.5122602
2004,0,0,0,2598231467.4367104
2005,0,0,0,2988338439.3155303
2006,0,0,0,3408272498.11516
2007,0,0,0,4401154128.122971
2008,0,0,0,6054806100.8468
2009,0,0,0,5439422031.396271
2010,0,0,0,5811604051.96737
2011,0,0,0,7015206498.21955
2012,0,0,0,7284686576.2835
2013,0,0,0,7985349731.464709
2014,0,0,0,7983271110.60446
2015,0,0,0,6512899540.34594
2016,0,0,0,6749515654.64419
