year,total,civilians,events,gdp
1989,0,0,0,3576966800.0
1990,0,0,0,2560785660.0
1991,0,0,0,2379018326.3157897
1992,0,0,0,1317611863.8497698
1993,0,0,0,768401634.1545731
1994,0,0,0,925817092.217484
1995,0,0,0,1452165005.2384
1996,0,0,0,1345719472.35883
1997,0,0,0,1180934202.83801
1998,0,0,0,1124440248.9783
1999,0,0,0,1057408588.68269
2000,0,0,0,1136896123.6129801
2001,0,0,0,1267997934.3125
2002,0,0,0,1396555719.97409
2003,0,0,0,1595297355.78349
2004,0,0,0,1992066808.0959802
2005,0,0,0,2523471532.01083
2006,0,0,0,3414055566.1138
2007,0,0,0,4234999823.3083897
2008,0,0,0,5623216448.86851
2009,0,0,0,4583850367.88972
2010,0,0,0,7189481853.106141
2011,0,0,0,10409797610.3499
2012,0,0,0,12292770631.1967
2013,0,0,0,12582122604.1921
2014,0,0,0,12226514746.1243
2015,0,0,0,11741338841.1321
2016,0,0,0,11160356497.9404
