year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,0,0,0,0.0
1993,0,0,0,0.0
1994,0,0,0,0.0
1995,0,0,0,0.0
1996,0,0,0,0.0
1997,0,0,0,0.0
1998,0,0,0,0.0
1999,0,0,0,0.0
2000,0,0,0,984279598.325251
2001,0,0,0,1159860290.16658
2002,0,0,0,1284446123.33554
2003,0,0,0,1707678389.68676
2004,0,0,0,2073255525.20487
2005,0,0,0,2257174480.7859697
2006,0,0,0,2696020574.58286
2007,0,0,0,3668857103.75034
2008,0,0,0,4519731946.68229
2009,0,0,0,4141382328.42456
2010,0,0,0,4139192052.9801297
2011,0,0,0,4538198498.7489605
2012,0,0,0,4087724527.81704
2013,0,0,0,4464260488.58205
2014,0,0,0,4587928884.17142
2015,0,0,0,4019889098.36975
2016,0,0,0,4173255530.97345
