year,total,civilians,events,gdp
1989,207,0,6,26314220188.0257
1990,0,0,0,30180108561.9305
1991,19,0,2,32285388165.2999
1992,0,0,0,33711069430.78
1993,0,0,0,31655473663.8348
1994,0,0,0,35604137422.5796
1995,0,0,0,39030285468.3841
1996,0,0,0,43161452678.4383
1997,0,0,0,39147844526.0838
1998,0,0,0,41806219378.6181
1999,0,0,0,41632027599.8531
2000,0,0,0,38857251336.3448
2001,0,0,0,39459581217.3759
2002,0,0,0,42236836820.6152
2003,46,34,2,52064058833.9739
2004,0,0,0,59626020162.3816
2005,0,0,0,62343022650.8742
2006,0,0,0,68640825480.9223
2007,0,0,0,79041294874.4553
2008,0,0,0,92507257783.5697
2009,0,0,0,92897320375.8176
2010,0,0,0,93216746661.5977
2011,0,0,0,101370474295.10901
2012,0,0,0,98266306615.3632
2013,0,0,0,106825649872.108
2014,0,0,0,109881398474.953
2015,0,0,0,100593283696.732
2016,0,0,0,101445004812.643
