year,total,civilians,events,gdp
1989,1552,412,131,2314159887.23319
1990,1759,182,44,2512079324.07706
1991,1914,541,52,3263761937.95748
1992,521,436,34,2291175764.66004
1993,0,0,0,2394823061.93212
1994,0,0,0,2460670287.73707
1995,0,0,0,2521738759.58885
1996,0,0,0,3523842274.8966203
1997,0,0,0,4227273069.0599103
1998,0,0,0,4873242526.06404
1999,0,0,0,5302532113.25156
2000,0,0,0,5016469068.50898
2001,0,0,0,4766928746.6914
2002,0,0,0,5031510908.86055
2003,0,0,0,5597367853.40358
2004,1,0,1,6831808930.39816
2005,12,0,1,7723846194.874459
2006,0,0,0,8312078525.08582
2007,0,0,0,9366742309.493309
2008,0,0,0,11494837053.4061
2009,0,0,0,10911698208.1015
2010,0,0,0,10154238250.1818
2011,0,0,0,13131168011.807
2012,2,0,1,14534278446.3087
2013,31,2,13,16018848990.668999
2014,24,0,10,16961127045.8266
2015,3,0,1,14798399861.5582
2016,30,4,6,11014858591.8422
