year,total,civilians,events,gdp
1989,0,0,2,2547340984.48164
1990,0,0,0,2804379662.1961102
1991,0,0,0,3012742078.0067396
1992,0,0,0,3448326858.34502
1993,0,0,0,3218475900.48046
1994,0,0,1,3636645995.26867
1995,0,0,0,3942478205.7290897
1996,2,2,1,3945340776.4054604
1997,0,0,0,4102648719.61806
1998,0,0,0,3826527630.55551
1999,1,0,1,3818954447.9908295
2000,66,9,15,3908661517.6229897
2001,0,0,0,3546783708.1261897
2002,5,0,2,3361251197.73829
2003,0,0,0,4931312147.210071
2004,0,0,0,6606858786.01174
2005,0,0,0,7261333794.60003
2006,0,0,0,7978734401.53585
2007,0,0,0,8740865600.24981
2008,0,0,0,8486721916.9128
2009,0,0,0,8876191120.76189
2010,0,0,0,11282192605.0374
2011,0,0,0,12409629835.6998
2012,0,0,0,13016272898.9038
2013,0,0,0,12713366873.4658
2014,0,0,0,12853963142.8124
2015,0,0,0,11491507355.6498
2016,0,0,0,10267157279.9956
