year,total,civilians,events,gdp
1989,0,0,0,3525228153.17361
1990,14,14,9,3627562402.66027
1991,2,2,1,3921476084.8907204
1992,0,0,1,3401211581.29176
1993,3,3,3,3660041666.6666703
1994,0,0,1,4066775510.2040796
1995,0,0,1,4401104417.67068
1996,77,33,53,4521580381.47139
1997,48,8,37,4918691916.53516
1998,357,107,218,4856255044.39064
1999,295,139,244,5033642384.10596
2000,365,105,186,5494252207.905021
2001,569,140,229,6007061224.48979
2002,4433,486,1529,6050875806.66403
2003,1732,405,885,6330473096.54071
2004,2456,577,1360,7273938314.71988
2005,1399,325,649,8130258041.467059
2006,566,131,215,9043715355.8881
2007,31,1,20,10325618017.379
2008,0,0,9,12545438605.3959
2009,9,0,2,12854985464.0764
2010,0,0,0,16002656434.4746
2011,0,0,0,18913574370.76
2012,0,0,0,18851513891.066
2013,0,0,0,19271168018.482
2014,0,0,0,20002968837.9471
2015,0,0,0,21313549578.6984
2016,0,0,0,21143873417.4002
