year,total,civilians,events,gdp
1989,0,0,0,255039560739.89398
1990,2,2,1,314267667675.178
1991,0,0,0,323320449905.705
1992,0,0,0,358330385839.599
1993,0,0,0,349037818106.312
1994,0,0,0,374291430318.44
1995,0,0,0,446528959648.641
1996,0,0,0,445704575163.399
1997,0,0,0,412199006098.938
1998,0,0,0,432476116418.574
1999,0,0,0,441975282335.39294
2000,0,0,0,412807259996.315
2001,0,0,0,426573601789.709
2002,0,0,0,465368906455.863
2003,0,0,0,571863431151.2421
2004,0,0,0,650532654581.574
2005,0,0,0,678533764457.157
2006,0,0,0,726649102998.369
2007,0,0,0,839419655078.018
2008,0,0,0,936228211513.11
2009,0,0,0,857932759099.75
2010,0,0,0,836389937229.197
2011,0,0,0,893757287201.688
2012,0,0,0,828946812396.788
2013,0,0,0,866680000367.264
2014,0,0,0,879635084124.987
2015,0,0,0,750318056805.557
2016,0,0,0,770845046231.727
