year,total,civilians,events,gdp
1989,0,0,0,2185072798.33184
1990,0,0,0,2529310103.83608
1991,0,0,0,2653781596.46008
1992,0,0,0,2923764926.39718
1993,0,0,0,3070161471.0445104
1994,0,0,0,3038727617.03901
1995,0,0,0,3628440274.67
1996,0,0,0,3606968433.9268203
1997,0,0,0,3291489840.57141
1998,0,0,0,3158806480.26107
1999,0,0,0,3056999988.09146
2000,0,0,0,2682347064.3642
2001,0,0,0,0.0
2002,0,0,0,0.0
2003,0,0,0,0.0
2004,0,0,0,0.0
2005,0,0,0,0.0
2006,0,0,0,0.0
2007,0,0,0,0.0
2008,0,0,0,0.0
2009,0,0,0,0.0
2010,0,0,0,0.0
2011,0,0,0,0.0
2012,0,0,0,0.0
2013,0,0,0,0.0
2014,0,0,0,0.0
2015,0,0,0,0.0
2016,0,0,0,0.0
