year,total,civilians,events,gdp
1989,0,0,0,43920222524.7085
1990,0,0,0,45495727006.5141
1991,0,0,0,42745329732.162994
1992,0,0,0,41649298170.9911
1993,0,0,0,46775067750.6775
1994,0,0,0,55315342817.0218
1995,0,0,0,63918703506.9075
1996,0,0,0,70140835299.0148
1997,0,0,0,66074513017.7142
1998,0,0,0,56227169851.0448
1999,0,0,0,58761741657.5847
2000,0,0,0,52623281956.7031
2001,0,0,0,53872425916.6248
2002,0,0,0,66628222189.3637
2003,0,0,0,88250885550.2626
2004,0,0,0,103905882352.941
2005,0,0,0,114719425473.49199
2006,0,0,0,111606899682.25099
2007,0,0,0,137314617476.29901
2008,0,0,0,133279679482.67401
2009,0,0,0,121337372727.841
2010,0,0,0,146580949348.893
2011,0,0,0,168461998741.295
2012,0,0,0,176192886551.397
2013,0,0,0,190521142196.379
2014,0,0,0,200696291789.952
2015,0,0,0,175564427552.78198
2016,0,0,0,185017316092.654
