year,total,civilians,events,gdp
1989,526,134,21,1013184745.70715
1990,39,2,6,1009455476.0558301
1991,0,0,0,1488804123.71134
1992,0,0,0,1792800000.0
1993,0,0,0,1756454248.36601
1994,0,0,0,3863185119.0476203
1995,0,0,0,4140470000.0
1996,0,0,0,4308351902.78601
1997,0,0,0,4389965590.96538
1998,0,0,0,4635267224.84195
1999,0,0,0,4855717874.68247
2000,0,0,0,5107329007.0922
2001,0,0,0,5323146565.70315
2002,0,0,0,5224213017.54386
2003,0,0,0,5322454925.84746
2004,0,0,0,5795568204.64532
2005,0,0,0,6321335612.22233
2006,0,0,0,6763671610.70006
2007,0,0,0,7423377429.05927
2008,0,0,0,8496965842.2767
2009,0,0,0,8298695144.915071
2010,0,0,0,8758622328.66962
2011,0,0,0,9774316692.15985
2012,0,0,0,10532001129.67
2013,0,0,0,10982972256.3787
2014,0,0,0,11880438824.4494
2015,0,0,0,12747741539.7259
2016,0,0,0,13230844686.858
