year,total,civilians,events,gdp
1989,170,170,1,2179567111.0004
1990,200,200,2,2480673304.7430897
1991,40,0,9,2327986215.86356
1992,29,1,11,2344987614.2744102
1993,6,0,1,1606581743.7849698
1994,50,1,11,1563207224.65066
1995,67,33,7,1880803361.6856198
1996,14,1,3,1987770898.5433397
1997,81,1,8,1845599608.44272
1998,147,147,2,2076737356.6789699
1999,0,0,0,2018193703.0604699
2000,0,0,0,1798374468.3636198
2001,0,0,0,1945327564.65042
2002,0,0,0,2170481508.86916
2003,0,0,0,2731416346.4815803
2004,4,0,1,3052898739.4678
2005,0,0,0,3405134831.8505
2006,0,0,0,3646728060.0646296
2007,98,22,22,4291363390.91295
2008,56,10,12,5403363917.3096
2009,0,0,0,5397121856.35204
2010,0,0,0,5718589799.24366
2011,0,0,0,6409169889.50891
2012,1,0,1,6942209594.55433
2013,31,1,6,7667951987.6933
2014,0,0,0,8245312136.56543
2015,491,168,41,7142951342.4223
2016,299,25,18,7508986509.27487
