year,total,civilians,events,gdp
1989,0,0,0,24231168858.7187
1990,89,80,2,30757075595.3681
1991,380,0,4,27392886872.5547
1992,943,1,12,29300903643.0584
1993,1185,3,8,15789003752.7594
1994,90,56,16,18086400535.5777
1995,1,1,1,28546958641.2735
1996,87,5,5,34987951375.0
1997,585,4,19,35822342617.6978
1998,338,43,31,32004613750.0
1999,3518,2504,39,35870792987.9432
2000,2104,42,30,46386011231.37
2001,2417,386,40,44137994251.618
2002,612,119,43,59116847821.5797
2003,445,135,64,67655813930.0926
2004,2095,61,84,87845420504.485
2005,251,44,21,112248353104.911
2006,225,19,21,145429764861.249
2007,153,5,21,166451213395.64
2008,426,148,28,208064753766.47
2009,531,19,41,169481317540.364
2010,972,97,88,369062464570.387
2011,1812,190,251,411743801711.642
2012,1988,893,400,460953836444.364
2013,3305,859,325,514966287206.505
2014,10261,5246,544,568498939784.021
2015,8978,3778,499,481066152870.266
2016,3810,657,401,405082677659.868
