year,total,civilians,events,gdp
1989,0,0,0,102633789557.535
1990,0,0,0,119791683307.50699
1991,0,0,0,121872464483.487
1992,0,0,0,130838040067.584
1993,0,0,0,120579072750.596
1994,0,0,0,127131461119.92699
1995,0,0,0,152027402449.80402
1996,0,0,0,163517783497.163
1997,0,0,0,161354369892.838
1998,0,0,0,154165219811.53302
1999,0,0,0,162286003692.686
2000,0,0,0,171315639982.731
2001,0,0,0,174003247439.305
2002,0,0,0,195418347152.985
2003,0,0,0,228752436371.85397
2004,0,0,0,264357494659.388
2005,0,0,0,308722079937.912
2006,0,0,0,345424664369.357
2007,0,0,0,400883873279.08295
2008,0,0,0,461946808510.63794
2009,0,0,0,386383919342.271
2010,0,0,0,428527064662.89795
2011,0,0,0,498156756965.081
2012,0,0,0,509704856037.817
2013,0,0,0,522746212765.95703
2014,0,0,0,498339751388.521
2015,0,0,0,386578443732.562
2016,0,0,0,370556666666.66705
