year,total,civilians,events,gdp
1989,0,0,0,9372171651.49545
1990,0,0,0,11685045513.6541
1991,0,0,0,11341482444.7334
1992,0,0,0,12452275682.7048
1993,0,0,0,12493107932.3797
1994,0,0,0,12918855656.696999
1995,0,0,0,13802600780.2341
1996,0,0,0,15277763328.9987
1997,0,0,0,15837451235.3706
1998,0,0,0,14085373211.9636
1999,0,0,0,15710148244.4733
2000,0,0,0,19507412223.6671
2001,0,0,0,19452015604.6814
2002,0,0,0,20142782834.8505
2003,0,0,0,21633810143.0429
2004,0,0,0,24763589076.723
2005,0,0,0,31081924577.3732
2006,0,0,0,37215864759.4278
2007,0,0,0,42085305591.6775
2008,0,0,0,60905331599.4798
2009,0,0,0,48388296488.9467
2010,0,0,0,58641621957.8941
2011,0,0,0,67937307405.122
2012,0,0,0,76689583316.9189
2013,0,0,0,78938585285.6905
2014,0,0,0,81034395037.5246
2015,0,0,0,69831770995.5405
2016,0,0,0,66293368010.4031
