year,total,civilians,events,gdp
1989,114,2,20,40171019643.3511
1990,385,7,44,40010424928.715
1991,61,2,9,45451960731.7204
1992,72,0,5,48635176852.7673
1993,48,0,7,51478304859.5879
1994,139,14,33,51894781281.8919
1995,127,26,22,60636022422.6176
1996,59,12,19,63320122807.1223
1997,78,3,14,62433300338.0941
1998,69,26,18,62191955814.3478
1999,25,25,2,62973855718.8874
2000,1,0,1,73952374969.7995
2001,26,6,2,72309738921.3329
2002,54,23,16,72306820396.2325
2003,241,117,78,83244801092.7096
2004,430,92,62,97977766197.6724
2005,153,27,47,109502102510.88301
2006,427,29,46,137264061106.04301
2007,1366,182,210,152385716311.916
2008,4620,597,664,170077814106.305
2009,7460,444,883,168152775283.03198
2010,7226,1000,962,177406854514.885
2011,3474,402,594,213587413183.996
2012,3540,415,643,224383620829.57
2013,2902,870,326,231218567178.97897
2014,3604,440,409,244360888750.807
2015,2387,295,254,271049886672.733
2016,1034,343,138,283659980698.255
