year,total,civilians,events,gdp
1989,920,500,3,5918469800.0
1990,0,0,0,6433967000.0
1991,0,0,0,7074675500.0
1992,0,0,0,8042337700.0
1993,0,0,0,8782585400.0
1994,0,0,0,9365289800.0
1995,0,0,0,9573813700.0
1996,0,0,0,9870494000.0
1997,0,0,0,10677286100.0
1998,0,0,0,11575486400.0
1999,0,0,0,12130252200.0
2000,0,0,0,12304115000.0
2001,0,0,0,12502013400.0
2002,0,0,0,12994310400.0
2003,0,0,0,13693981200.0
2004,0,0,0,15013381700.0
2005,0,0,0,16374393900.0
2006,0,0,0,18141666300.0
2007,0,0,0,20958000000.0
2008,0,0,0,24522200000.0
2009,0,0,0,26593500000.0
2010,0,0,0,28917200000.0
2011,0,0,0,34373820500.0
2012,0,0,0,39954761200.0
2013,0,0,0,44856189500.0
2014,0,0,0,49165773100.0
2015,0,0,0,52132289700.0
2016,0,0,0,55187700000.0
