year,total,civilians,events,gdp
1989,14,2,6,3546460176.99115
1990,61,8,15,3219730365.0
1991,29,11,3,3787352286.6666703
1992,60,30,15,4377984100.0
1993,40,7,14,4974662910.0
1994,26,2,6,5502648500.0
1995,33,2,11,4636113480.00002
1996,106,42,26,5155485419.7
1997,12,1,4,4936605079.99998
1998,0,0,0,3789428160.00001
1999,60,0,2,3477060138.33333
2000,13,3,2,3521348154.79666
2001,65,4,6,3081029665.98233
2002,7,0,3,2999542369.4211698
2003,0,0,0,3536459111.2438
2004,0,0,0,3927114465.90565
2005,0,0,0,4865971718.29732
2006,0,0,0,5527856839.0748205
2007,0,0,0,6340673793.54534
2008,0,0,0,8000074071.33069
2009,0,0,0,8105331929.8755
2010,0,0,0,9716103408.96554
2011,0,0,0,12873049346.2674
2012,57,0,4,15391629871.3765
2013,0,0,0,15413163674.9224
2014,0,0,0,16928680397.4185
2015,0,0,0,0.0
2016,0,0,0,0.0
