year,total,civilians,events,gdp
1989,150,0,1,4599970618.44348
1990,0,0,0,5695201563.42495
1991,0,0,0,6984367762.90371
1992,0,0,0,7157424031.06045
1993,0,0,0,7249533620.306141
1994,0,0,0,7870982170.98217
1995,0,0,0,9062131307.88275
1996,0,0,0,9788391732.82899
1997,0,0,0,9965225496.5884
1998,0,0,0,9024567484.2013
1999,0,0,0,8392549702.315109
2000,0,0,0,8195993230.74275
2001,0,0,0,7662595075.90241
2002,0,0,0,6325151760.0669
2003,0,0,0,6588103836.34739
2004,0,0,0,8033877360.41697
2005,0,0,0,8734653809.49561
2006,0,0,0,10646157920.3209
2007,0,0,0,13794910633.8518
2008,0,0,0,18504130752.9922
2009,0,0,0,15929902138.1363
2010,0,0,0,20030528042.9171
2011,0,0,0,25099681460.8943
2012,0,0,0,24595319573.7548
2013,0,0,0,28965906502.2306
2014,0,0,0,30881166852.3116
2015,0,0,0,27282581335.7964
2016,0,0,0,27440632933.5561
