year,total,civilians,events,gdp
1989,1945,144,172,22499559086.0343
1990,1228,142,140,26410386669.3609
1991,1353,182,123,34672122380.7687
1992,1188,192,126,36139225287.9079
1993,779,119,72,35158109999.4973
1994,369,148,35,44882079766.8913
1995,274,10,41,53312793687.3836
1996,105,14,25,55252414130.3019
1997,116,9,19,58147522522.5225
1998,33,8,9,55501467877.381
1999,89,20,16,50187324567.882996
2000,5,0,4,51744749133.213
2001,21,0,3,52030158775.4055
2002,13,1,6,54777553515.0809
2003,13,2,4,58731030121.8671
2004,3,0,2,66768703497.5687
2005,0,0,1,76060606060.606
2006,11,5,3,88643193061.748
2007,32,1,9,102170981144.136
2008,40,0,13,120550599815.441
2009,54,6,13,120822986521.479
2010,29,3,13,147528937028.778
2011,15,3,11,171761737046.585
2012,0,0,0,192648999090.082
2013,3,0,1,201217661645.50897
2014,14,8,8,201049665375.132
2015,9,0,4,189212096470.293
2016,11,3,2,192093512185.01102
