year,total,civilians,events,gdp
1989,984,129,135,42575183905.5606
1990,1352,96,126,44311593755.7845
1991,1549,54,113,45417561302.2497
1992,445,24,59,52976344928.9564
1993,318,23,45,54368083953.1119
1994,308,40,40,64084460124.4644
1995,188,37,18,74119987244.5011
1996,199,22,26,82848140618.0266
1997,322,41,40,82344260570.6685
1998,138,18,23,72207025219.4752
1999,219,18,48,82995147089.9742
2000,1761,216,171,81026297144.2795
2001,792,74,146,76262072022.215
2002,763,110,211,81357602950.1818
2003,1119,117,153,83908206456.0645
2004,470,139,135,91371239764.8818
2005,487,30,124,103071585462.599
2006,434,23,131,122210719245.902
2007,483,50,103,149359920005.894
2008,566,116,182,174195135053.121
2009,1047,100,155,168334599538.168
2010,372,58,119,199590774784.58102
2011,414,50,149,224143083706.77698
2012,311,30,109,250092093547.53198
2013,537,42,139,271836123723.678
2014,484,33,149,284584522898.935
2015,628,54,203,292774099014.19
2016,430,20,125,304905406845.908
