year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,65977749038.437996
1991,0,0,0,85500935934.9901
1992,0,0,0,94337050693.2727
1993,0,0,0,96045645026.17801
1994,0,0,0,110803391516.69801
1995,0,0,0,142137319587.629
1996,0,0,0,159942880456.956
1997,0,0,0,159117799530.388
1998,0,0,0,174388271853.6
1999,0,0,0,169717677900.734
2000,0,0,0,171885598582.637
2001,0,0,0,190521263343.023
2002,0,0,0,198680637254.90198
2003,0,0,0,217518642324.505
2004,0,0,0,255102252843.395
2005,0,0,0,306134635593.74396
2006,0,0,0,344826430298.147
2007,0,0,0,429249647594.60706
2008,0,0,0,533815789473.68396
2009,0,0,0,439796160379.475
2010,0,0,0,479321128909.23
2011,0,0,0,528819945375.37604
2012,0,0,0,500344281382.345
2013,0,0,0,524214789307.993
2014,0,0,0,545151778520.387
2015,0,0,0,477336782066.58704
2016,0,0,0,469508680416.11896
