year,total,civilians,events,gdp
1989,0,0,0,60600056659.0272
1990,0,0,0,78721607509.4923
1991,0,0,0,89242382961.0101
1992,0,0,0,107602689040.68901
1993,0,0,0,95019103603.04199
1994,0,0,0,99698453260.8696
1995,0,0,0,118133634071.91199
1996,0,0,0,122629812841.175
1997,0,0,0,117046198970.84
1998,0,0,0,123981736420.30301
1999,0,0,0,127465545493.28801
2000,0,0,0,118358489957.619
2001,0,0,0,121545880984.34
2002,0,0,0,134228697534.35
2003,0,0,0,164964195259.594
2004,0,0,0,189187437298.237
2005,0,0,0,197304513120.25897
2006,0,0,0,208566948939.90698
2007,0,0,0,240169336162.059
2008,0,0,0,262007590449.685
2009,0,0,0,243745748819.11603
2010,0,0,0,238303443425.21
2011,0,0,0,244895101712.45102
2012,0,0,0,216368178659.447
2013,0,0,0,226073492966.495
2014,0,0,0,229629822121.601
2015,0,0,0,199082291239.307
2016,0,0,0,204564700289.118
