year,total,civilians,events,gdp
1989,0,0,0,28266800000.0
1990,0,0,0,30603919000.0
1991,0,0,0,32287031000.0
1992,0,0,0,34630430000.0
1993,0,0,0,36922456000.0
1994,0,0,0,39690630000.0
1995,0,0,0,42647331000.0
1996,0,0,0,45340835000.0
1997,0,0,0,48187039000.0
1998,0,0,0,54086409000.0
1999,0,0,0,57840954000.0
2000,0,0,0,61701810000.0
2001,0,0,0,69668635000.0
2002,0,0,0,72546194000.0
2003,0,0,0,75833996000.0
2004,0,0,0,80322313000.0
2005,0,0,0,83914521340.5431
2006,0,0,0,87276164364.6388
2007,0,0,0,89524131617.1909
2008,0,0,0,93639316000.0
2009,0,0,0,96385638000.0
2010,0,0,0,98381268000.0
2011,0,0,0,100351670000.0
2012,0,0,0,101080738000.0
2013,0,0,0,103134778000.0
2014,0,0,0,0.0
2015,0,0,0,0.0
2016,0,0,0,0.0
