year,total,civilians,events,gdp
1989,0,0,0,6487912087.91209
1990,0,0,0,7360439423.0769205
1991,0,0,0,6883516483.5164795
1992,0,0,0,7646153983.5164795
1993,0,0,0,7156593653.84615
1994,0,0,0,7374450769.23077
1995,0,0,0,8137911978.021979
1996,0,0,0,9059340384.61539
1997,0,0,0,11297802115.3846
1998,0,0,0,10255495027.4725
1999,0,0,0,12393131868.1319
2000,0,0,0,17759890109.8901
2001,0,0,0,17538461538.4615
2002,0,0,0,19363736263.7363
2003,0,0,0,23533791208.7912
2004,0,0,1,31734065934.0659
2005,0,0,0,44530494505.4945
2006,0,0,0,60882142857.1428
2007,0,0,0,79712087912.0879
2008,0,0,0,115270054945.055
2009,0,0,0,97798351648.3516
2010,0,0,0,125122306346.154
2011,0,0,0,167775274725.275
2012,0,0,0,186833516483.51602
2013,0,0,0,198727747252.74698
2014,0,0,0,206224725274.725
2015,0,0,0,164641483516.484
2016,0,0,0,152468681318.681
